Velocity, Distance, Lift
226.31579200, 0.86842105, 0.10970189
352.63157800, 0.65789473, -0.35271566
573.68420800, 0.50000000, 0.18034628
447.36842200, 0.97368421, -0.32904739
700.00000000, 0.78947368, -0.07813563
636.84210400, 0.92105263, -0.18148451
100.00000000, 0.89473684, 0.06405676
605.26315600, 0.68421053, -0.06698574
510.52631800, 0.60526316, -0.07108189
194.73684400, 1.00000000, 0.03385756
163.15789600, 0.63157895, 0.00503439
384.21052600, 0.81578947, -0.19813060
542.10526600, 0.84210527, -0.23682504
415.78947400, 0.52631579, -0.18549452
131.57894800, 0.76315789, 0.07478438
257.89473400, 0.55263158, -0.04806623
321.05263000, 0.94736842, -0.15016475
289.47368200, 0.73684211, -0.08184528
478.94737000, 0.71052631, -0.27740481
668.42105200, 0.57894737, 0.14895566
342.10526200, 0.57894737, -0.29059485
178.94736700, 0.52631579, -0.06847859
231.57894700, 0.51754386, -0.02439939
139.47368350, 0.51315789, -0.06173833
173.68421200, 0.92105263, 0.03514634
147.36842200, 1.00000000, 0.05788506
200.00000200, 0.89473684, 0.02846528
542.10526300, 0.55263158, 0.05715845
310.52631600, 0.87719298, -0.11680127
447.36842200, 0.99122807, -0.31134932
268.42105400, 0.87280702, 0.17115697
347.36842100, 0.84649123, -0.10525788
289.47368500, 0.87500000, 0.00417423
321.05263300, 0.99561404, -0.14061260
261.40350933, 0.82602339, 0.20417316
247.36842300, 0.87061404, 0.19635394
206.43274978, 0.81920078, 0.04606156
311.69590578, 0.79288499, -0.09751552
287.52436570, 0.78525016, 0.03199349
146.00389926, 0.82569851, 0.07040044
329.53216339, 0.81968811, -0.11370194
176.21832452, 0.82244964, 0.03627712
392.98245633, 0.87865497, -0.23313596
233.91812956, 0.82261209, 0.15066541
370.17543867, 0.86257310, -0.12334068
467.54386117, 0.86038012, -0.35386665
589.47368500, 0.88157895, -0.20571076
299.99999800, 0.56578947, -0.30558329
240.35087600, 0.58333333, 0.08258999
296.49122700, 0.62061403, -0.34668417
229.82456150, 0.62609649, 0.12096290
115.78947400, 0.63157895, 0.03547682
319.29824450, 0.59978070, -0.34396405
139.47368500, 0.63157895, 0.03042970
336.84210400, 0.50000000, -0.22038516
271.92982350, 0.66118421, -0.06762867
284.21052525, 0.64089912, -0.25437609
119.73684175, 0.50657895, -0.06499038
280.70175275, 0.69901316, -0.11476078
194.15204633, 0.58040936, -0.02776799
217.25146117, 0.58187134, 0.04314432
373.68421000, 0.70175438, -0.34341079
442.10526200, 0.50877193, -0.10592580
326.31578800, 0.54824561, -0.28024495
276.31578812, 0.68009868, -0.08603689
255.55555483, 0.61001462, 0.04279133
294.73684000, 0.55555556, -0.28010444
107.89473700, 0.76315789, 0.07293471
542.10526400, 0.74561404, -0.19826988
256.53021386, 0.62567008, 0.05210296
318.42105163, 0.64939693, -0.39323977
223.09941521, 0.64592471, 0.10240822
381.57894750, 0.87061404, -0.16702067
270.37036956, 0.63328460, -0.09567358
211.79337199, 0.70269859, 0.05535788
636.84210400, 0.50000000, 0.24324448
435.96491317, 0.90423977, -0.39087272
447.36842200, 0.65789474, -0.30556036
478.94737000, 0.63157895, -0.18434255
400.00000000, 0.65789474, -0.33396545
187.47563399, 0.66713877, 0.00041441
137.05328166, 0.68729187, 0.04805884
178.77409588, 0.68570974, 0.00392698
100.00000000, 0.69736842, 0.04804777
398.24561333, 0.51169591, -0.18991836
319.29824400, 0.53460039, -0.27339455
275.43859717, 0.85051170, 0.12365402
268.42105325, 0.83826755, 0.17441457
356.53021393, 0.77014295, -0.13605794
406.56270331, 0.76548625, -0.38022448
381.54645862, 0.76781460, -0.24765266
442.75503665, 0.73800628, -0.39767625
334.11305985, 0.78151397, -0.10435402
299.61013574, 0.78906758, -0.05233072
437.05328224, 0.81293318, -0.43061325
452.29857170, 0.83665665, -0.39912603
490.93567339, 0.91983431, -0.29667693
463.45029328, 0.91203704, -0.34721424
657.89473600, 0.68421053, -0.02463474
235.25016249, 0.76904984, 0.16339542
261.38726410, 0.77715000, 0.20765237
248.31871329, 0.77309992, 0.21028908
463.15789600, 0.68421053, -0.29762764
439.90415945, 0.77546973, -0.42208140
427.84004833, 0.78462972, -0.43054313
223.52176724, 0.73587421, 0.11004877
218.42105200, 0.50000000, -0.06077488
456.14035133, 0.54678363, -0.11042406
291.52046679, 0.65049342, -0.31385724
311.40350771, 0.62326389, -0.37540319
474.92148670, 0.75303002, -0.31779983
285.08771738, 0.71792763, -0.11620011
196.78362591, 0.75602732, 0.02949407
210.15269657, 0.74595077, 0.05832377
278.94736950, 0.87390351, 0.09534163
621.05263200, 0.76754386, -0.13060425
238.49902372, 0.57261209, 0.06559074
200.84470617, 0.86186918, 0.03513557
295.41910218, 0.65999634, -0.33344719
309.58414431, 0.67230141, -0.38666837
238.67229732, 0.71252865, 0.17170861
242.26048581, 0.69844197, 0.17660670
200.24005481, 0.71145303, 0.02376577
225.71775767, 0.68235509, 0.11965898
224.99999950, 0.50877193, -0.04299550
508.51337535, 0.74932203, -0.24397995
